Var1	Var2	n	P	R	gene_name_1	gene_name_2
ENSG00000115386	ENSG00000172023	18	7.08222813727843e-10	0.955203915450491	REG1A	REG1B
ENSG00000129824	ENSG00000067646	18	1.86517468137026e-14	0.988177137863874	RPS4Y1	ZFY
ENSG00000129824	ENSG00000231535	18	3.93100663131918e-10	0.958435152291871	RPS4Y1	LINC00278
ENSG00000129824	ENSG00000131002	18	2.48689957516035e-14	0.987724965995307	RPS4Y1	TXLNGY
ENSG00000129824	ENSG00000067048	18	1.56763491077072e-13	0.984536109755067	RPS4Y1	DDX3Y
ENSG00000129824	ENSG00000176728	18	8.19344592173366e-14	0.985745021554997	RPS4Y1	TTTY14
ENSG00000067646	ENSG00000129824	18	1.86517468137026e-14	0.988177137863874	ZFY	RPS4Y1
ENSG00000067646	ENSG00000231535	18	2.14916973106938e-12	0.978496261287087	ZFY	LINC00278
ENSG00000067646	ENSG00000131002	18	6.21724893790088e-15	0.989691753783353	ZFY	TXLNGY
ENSG00000067646	ENSG00000067048	18	1.3988810110277e-14	0.988583918474264	ZFY	DDX3Y
ENSG00000067646	ENSG00000176728	18	0	0.99411622760802	ZFY	TTTY14
ENSG00000231535	ENSG00000129824	18	3.93100663131918e-10	0.958435152291871	LINC00278	RPS4Y1
ENSG00000231535	ENSG00000067646	18	2.14916973106938e-12	0.978496261287087	LINC00278	ZFY
ENSG00000231535	ENSG00000131002	18	3.34083871678104e-11	0.969592369244683	LINC00278	TXLNGY
ENSG00000231535	ENSG00000067048	18	1.72602820924794e-10	0.962559974033438	LINC00278	DDX3Y
ENSG00000231535	ENSG00000176728	18	2.91766610871491e-13	0.983278089027411	LINC00278	TTTY14
ENSG00000131002	ENSG00000129824	18	2.48689957516035e-14	0.987724965995307	TXLNGY	RPS4Y1
ENSG00000131002	ENSG00000067646	18	6.21724893790088e-15	0.989691753783353	TXLNGY	ZFY
ENSG00000131002	ENSG00000231535	18	3.34083871678104e-11	0.969592369244683	TXLNGY	LINC00278
ENSG00000131002	ENSG00000067048	18	2.68673971959288e-14	0.987611770526499	TXLNGY	DDX3Y
ENSG00000131002	ENSG00000176728	18	1.46771483855446e-13	0.984662529302343	TXLNGY	TTTY14
ENSG00000172023	ENSG00000115386	18	7.08222813727843e-10	0.955203915450491	REG1B	REG1A
ENSG00000067048	ENSG00000129824	18	1.56763491077072e-13	0.984536109755067	DDX3Y	RPS4Y1
ENSG00000067048	ENSG00000067646	18	1.3988810110277e-14	0.988583918474264	DDX3Y	ZFY
ENSG00000067048	ENSG00000231535	18	1.72602820924794e-10	0.962559974033438	DDX3Y	LINC00278
ENSG00000067048	ENSG00000131002	18	2.68673971959288e-14	0.987611770526499	DDX3Y	TXLNGY
ENSG00000067048	ENSG00000176728	18	4.2765790908561e-13	0.982452521740542	DDX3Y	TTTY14
ENSG00000176728	ENSG00000129824	18	8.19344592173366e-14	0.985745021554997	TTTY14	RPS4Y1
ENSG00000176728	ENSG00000067646	18	0	0.99411622760802	TTTY14	ZFY
ENSG00000176728	ENSG00000231535	18	2.91766610871491e-13	0.983278089027411	TTTY14	LINC00278
ENSG00000176728	ENSG00000131002	18	1.46771483855446e-13	0.984662529302343	TTTY14	TXLNGY
ENSG00000176728	ENSG00000067048	18	4.2765790908561e-13	0.982452521740542	TTTY14	DDX3Y
